txid,vout_index,output_address,value_rvn,script_type,asset_name,asset_amount,asset_type
02c12bac899df35c63b9e41f58cfce9aced87720c02baffaf3bdef4c4ad55131,1,RTxntxko22Bf9K4GXy7M6BMQ5SpyVisf97,992.04831000,pubkeyhash,,,
02c3cff3a5fb3651b509c650c6df46fc2f39867679c3bf028b2c2e504aa25c86,0,,0.00000000,nulldata,,,
02c3cff3a5fb3651b509c650c6df46fc2f39867679c3bf028b2c2e504aa25c86,1,RQoMhyuo9ng8uEcRmdgGtZofvp5U1BjYT6,994.47632000,pubkeyhash,,,
02d22f47404399f110525b45ef2b8ca1b8f0c9175d7d67ca670e4337addae36a,0,,0.00000000,nulldata,,,
02d22f47404399f110525b45ef2b8ca1b8f0c9175d7d67ca670e4337addae36a,1,RCCBLTd7nzwqAxa9R6WuNYLCki5cUcbmWi,994.25616000,pubkeyhash,,,
02de8cc55af89164156cc517d367434922ba21ade59dc321723dba1207f4d3e3,0,,0.00000000,nulldata,,,
02de8cc55af89164156cc517d367434922ba21ade59dc321723dba1207f4d3e3,1,RWYsdAW55DuDVHNEVu17nm8AzARcxVjdHQ,989.27483000,pubkeyhash,,,
03115b29abb73f8c8c06edaaedaf224f7a3afc31050c5e4e394bb60902fe9834,0,,0.00000000,nulldata,,,
03115b29abb73f8c8c06edaaedaf224f7a3afc31050c5e4e394bb60902fe9834,1,RGzViuxXGSXN7sfgc9cAWMJpdUZvRnMk1V,992.21667000,pubkeyhash,,,
034170325bb672cb77086340f5b0239d4140aa939daf834cd5c80a36c50219e0,0,,0.00000000,nulldata,,,
034170325bb672cb77086340f5b0239d4140aa939daf834cd5c80a36c50219e0,1,RQdL5ziWMFPTaq5q1hsyPmraktNSdjuHPJ,990.26259000,pubkeyhash,,,
034545d72ba0fb35b238aaf06efad3ddb4387218d8de595eb86c411ea59436fa,0,,0.00000000,nulldata,,,
034545d72ba0fb35b238aaf06efad3ddb4387218d8de595eb86c411ea59436fa,1,RNiPocZWSXHMMejTSjRwCHCnZyoS1YdkzZ,989.57567000,pubkeyhash,,,
034aa55f18a5727327a9feb299510d8792dcf007df1b92374844930cedbb2e80,0,,0.00000000,nulldata,,,
034aa55f18a5727327a9feb299510d8792dcf007df1b92374844930cedbb2e80,1,RVp9yEyXSWBxegtQ8r1AV6TGFhtrE1zopQ,994.75784000,pubkeyhash,,,
